file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
Baseline-276_S1_R1_001.fastq.gz	FASTQ	DNA	239701	36194851	151	151.0	151
Baseline-277_S2_R1_001.fastq.gz	FASTQ	DNA	735796	111105196	151	151.0	151
Baseline-278_S3_R1_001.fastq.gz	FASTQ	DNA	821121	123989271	151	151.0	151
Baseline-279_S4_R1_001.fastq.gz	FASTQ	DNA	610594	92199694	151	151.0	151
Baseline-280_S5_R1_001.fastq.gz	FASTQ	DNA	561068	84721268	151	151.0	151
Baseline-281_S6_R1_001.fastq.gz	FASTQ	DNA	1344909	203081259	151	151.0	151
Baseline-282_S7_R1_001.fastq.gz	FASTQ	DNA	1928529	291207879	151	151.0	151
Baseline-283_S8_R1_001.fastq.gz	FASTQ	DNA	523661	79072811	151	151.0	151
Baseline-284_S9_R1_001.fastq.gz	FASTQ	DNA	446270	67386770	151	151.0	151
Baseline-285_S10_R1_001.fastq.gz	FASTQ	DNA	2240465	338310215	151	151.0	151
Baseline-286_S11_R1_001.fastq.gz	FASTQ	DNA	1432885	216365635	151	151.0	151
Baseline-287_S12_R1_001.fastq.gz	FASTQ	DNA	2860983	432008433	151	151.0	151
Baseline-288_S13_R1_001.fastq.gz	FASTQ	DNA	2615481	394937631	151	151.0	151
Baseline-289_S14_R1_001.fastq.gz	FASTQ	DNA	1515464	228835064	151	151.0	151
Baseline-290_S15_R1_001.fastq.gz	FASTQ	DNA	698747	105510797	151	151.0	151
Baseline-291_S16_R1_001.fastq.gz	FASTQ	DNA	8401192	1268579992	151	151.0	151
Baseline-292_S17_R1_001.fastq.gz	FASTQ	DNA	2188431	330453081	151	151.0	151
Baseline-293_S18_R1_001.fastq.gz	FASTQ	DNA	2439484	368362084	151	151.0	151
Baseline-NTC_S19_R1_001.fastq.gz	FASTQ	DNA	349648	52796848	151	151.0	151
Day1-294_S20_R1_001.fastq.gz	FASTQ	DNA	1072798	161992498	151	151.0	151
Day1-295_S21_R1_001.fastq.gz	FASTQ	DNA	3035803	458406253	151	151.0	151
Day1-296_S22_R1_001.fastq.gz	FASTQ	DNA	323508	48849708	151	151.0	151
Day1-297_S23_R1_001.fastq.gz	FASTQ	DNA	2277574	343913674	151	151.0	151
Day1-298_S24_R1_001.fastq.gz	FASTQ	DNA	2323247	350810297	151	151.0	151
Day1-299_S25_R1_001.fastq.gz	FASTQ	DNA	1459375	220365625	151	151.0	151
Day1-300_S26_R1_001.fastq.gz	FASTQ	DNA	633229	95617579	151	151.0	151
Day1-301_S27_R1_001.fastq.gz	FASTQ	DNA	1651730	249411230	151	151.0	151
Day1-302_S28_R1_001.fastq.gz	FASTQ	DNA	624935	94365185	151	151.0	151
Day1-303_S29_R1_001.fastq.gz	FASTQ	DNA	2697249	407284599	151	151.0	151
Day1-304_S30_R1_001.fastq.gz	FASTQ	DNA	717170	108292670	151	151.0	151
Day1-305_S31_R1_001.fastq.gz	FASTQ	DNA	958575	144744825	151	151.0	151
Day1-306_S32_R1_001.fastq.gz	FASTQ	DNA	2152234	324987334	151	151.0	151
Day1-307_S33_R1_001.fastq.gz	FASTQ	DNA	713993	107812943	151	151.0	151
Day1-308_S34_R1_001.fastq.gz	FASTQ	DNA	962790	145381290	151	151.0	151
Day1-309_S35_R1_001.fastq.gz	FASTQ	DNA	1172585	177060335	151	151.0	151
Day1-310_S36_R1_001.fastq.gz	FASTQ	DNA	1293419	195306269	151	151.0	151
Day1-311_S37_R1_001.fastq.gz	FASTQ	DNA	119975	18116225	151	151.0	151
Day1-Day1-NTC_S38_R1_001.fastq.gz	FASTQ	DNA	1521299	229716149	151	151.0	151
Day7-312_S41_R1_001.fastq.gz	FASTQ	DNA	891593	134630543	151	151.0	151
Day7-313_S42_R1_001.fastq.gz	FASTQ	DNA	839582	126776882	151	151.0	151
Day7-314_S43_R1_001.fastq.gz	FASTQ	DNA	897950	135590450	151	151.0	151
Day7-315_S44_R1_001.fastq.gz	FASTQ	DNA	1549095	233913345	151	151.0	151
Day7-316_S45_R1_001.fastq.gz	FASTQ	DNA	1065400	160875400	151	151.0	151
Day7-317_S46_R1_001.fastq.gz	FASTQ	DNA	1710633	258305583	151	151.0	151
Day7-318_S47_R1_001.fastq.gz	FASTQ	DNA	1812850	273740350	151	151.0	151
Day7-319_S48_R1_001.fastq.gz	FASTQ	DNA	914526	138093426	151	151.0	151
Day7-320_S49_R1_001.fastq.gz	FASTQ	DNA	3362490	507735990	151	151.0	151
Day7-321_S50_R1_001.fastq.gz	FASTQ	DNA	1609366	243014266	151	151.0	151
Day7-322_S51_R1_001.fastq.gz	FASTQ	DNA	1776293	268220243	151	151.0	151
Day7-323_S52_R1_001.fastq.gz	FASTQ	DNA	13528089	2042741439	151	151.0	151
Day7-324_S53_R1_001.fastq.gz	FASTQ	DNA	1325058	200083758	151	151.0	151
Day7-325_S54_R1_001.fastq.gz	FASTQ	DNA	6207768	937372968	151	151.0	151
Day7-326_S55_R1_001.fastq.gz	FASTQ	DNA	1992683	300895133	151	151.0	151
Day7-327_S56_R1_001.fastq.gz	FASTQ	DNA	866999	130916849	151	151.0	151
Day7-328_S57_R1_001.fastq.gz	FASTQ	DNA	951740	143712740	151	151.0	151
Day7-330_S58_R1_001.fastq.gz	FASTQ	DNA	1140619	172233469	151	151.0	151
Day7-331_S59_R1_001.fastq.gz	FASTQ	DNA	955026	144208926	151	151.0	151
Day7-NTC_S60_R1_001.fastq.gz	FASTQ	DNA	1626516	245603916	151	151.0	151
