file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
332Day-14_S1_R1_001.fastq.gz	FASTQ	DNA	105531	15935181	151	151.0	151
333Day-14_S2_R1_001.fastq.gz	FASTQ	DNA	2759415	416671665	151	151.0	151
334Day-14_S3_R1_001.fastq.gz	FASTQ	DNA	2228553	336511503	151	151.0	151
335Day-14_S4_R1_001.fastq.gz	FASTQ	DNA	148228	22382428	151	151.0	151
336Day-14_S5_R1_001.fastq.gz	FASTQ	DNA	123346	18625246	151	151.0	151
337Day-14_S6_R1_001.fastq.gz	FASTQ	DNA	2448565	369733315	151	151.0	151
338Day-14_S7_R1_001.fastq.gz	FASTQ	DNA	3222638	486618338	151	151.0	151
339Day-14_S8_R1_001.fastq.gz	FASTQ	DNA	3918078	591629778	151	151.0	151
340Day-14_S9_R1_001.fastq.gz	FASTQ	DNA	136355	20589605	151	151.0	151
341Day-14_S10_R1_001.fastq.gz	FASTQ	DNA	56043	8462493	151	151.0	151
342Day-14_S11_R1_001.fastq.gz	FASTQ	DNA	137501	20762651	151	151.0	151
343Day-14_S12_R1_001.fastq.gz	FASTQ	DNA	134379	20291229	151	151.0	151
344Day-14_S13_R1_001.fastq.gz	FASTQ	DNA	2319829	350294179	151	151.0	151
345Day-14_S14_R1_001.fastq.gz	FASTQ	DNA	179471	27100121	151	151.0	151
346Day-14_S15_R1_001.fastq.gz	FASTQ	DNA	433562	65467862	151	151.0	151
347Day-14_S16_R1_001.fastq.gz	FASTQ	DNA	100225	15133975	151	151.0	151
348Day-14_S17_R1_001.fastq.gz	FASTQ	DNA	1569825	237043575	151	151.0	151
349Day-14_S18_R1_001.fastq.gz	FASTQ	DNA	1952358	294806058	151	151.0	151
350Day-14_S19_R1_001.fastq.gz	FASTQ	DNA	74993	11323943	151	151.0	151
351Day-28_S21_R1_001.fastq.gz	FASTQ	DNA	143627	21687677	151	151.0	151
352Day-28_S22_R1_001.fastq.gz	FASTQ	DNA	2331562	352065862	151	151.0	151
353Day-28_S23_R1_001.fastq.gz	FASTQ	DNA	101084	15263684	151	151.0	151
354Day-28_S24_R1_001.fastq.gz	FASTQ	DNA	3601074	543762174	151	151.0	151
355Day-28_S25_R1_001.fastq.gz	FASTQ	DNA	44488	6717688	151	151.0	151
356Day-28_S26_R1_001.fastq.gz	FASTQ	DNA	3100023	468103473	151	151.0	151
357Day-28_S27_R1_001.fastq.gz	FASTQ	DNA	110462	16679762	151	151.0	151
358Day-28_S28_R1_001.fastq.gz	FASTQ	DNA	101261	15290411	151	151.0	151
359Day-28_S29_R1_001.fastq.gz	FASTQ	DNA	152052	22959852	151	151.0	151
360Day-28_S30_R1_001.fastq.gz	FASTQ	DNA	2907189	438985539	151	151.0	151
361Day-28_S31_R1_001.fastq.gz	FASTQ	DNA	2291051	345948701	151	151.0	151
362Day-28_S32_R1_001.fastq.gz	FASTQ	DNA	1916213	289348163	151	151.0	151
363Day-28_S33_R1_001.fastq.gz	FASTQ	DNA	80039	12085889	151	151.0	151
364Day-28_S34_R1_001.fastq.gz	FASTQ	DNA	128108	19344308	151	151.0	151
365Day-28_S35_R1_001.fastq.gz	FASTQ	DNA	123583	18661033	151	151.0	151
371Day-28_S36_R1_001.fastq.gz	FASTQ	DNA	82241	12418391	151	151.0	151
372Day-28_S37_R1_001.fastq.gz	FASTQ	DNA	878633	132673583	151	151.0	151
373Day-28_S38_R1_001.fastq.gz	FASTQ	DNA	728870	110059370	151	151.0	151
374Day-28_S39_R1_001.fastq.gz	FASTQ	DNA	1083714	163640814	151	151.0	151
NTCDay-14_S20_R1_001.fastq.gz	FASTQ	DNA	1867989	282066339	151	151.0	151
NTCSDay-28_S40_R1_001.fastq.gz	FASTQ	DNA	55090	8318590	151	151.0	151
