file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
TBICV001_S1_R1_001.fastq.gz	FASTQ	DNA	36383472	5493904272	151	151.0	151
TBICV002_S2_R1_001.fastq.gz	FASTQ	DNA	27817813	4200489763	151	151.0	151
TBICV003_S3_R1_001.fastq.gz	FASTQ	DNA	31257535	4719887785	151	151.0	151
TBICV004_S4_R1_001.fastq.gz	FASTQ	DNA	25320408	3823381608	151	151.0	151
TBICV005_S5_R1_001.fastq.gz	FASTQ	DNA	14458071	2183168721	151	151.0	151
TBICV006_S6_R1_001.fastq.gz	FASTQ	DNA	24151645	3646898395	151	151.0	151
TBICV007_S7_R1_001.fastq.gz	FASTQ	DNA	30643067	4627103117	151	151.0	151
TBICV008_S10_R1_001.fastq.gz	FASTQ	DNA	37110835	5603736085	151	151.0	151
TBICWNTC_S11_R1_001.fastq.gz	FASTQ	DNA	2416168	364841368	151	151.0	151
TBICWPC_S12_R1_001.fastq.gz	FASTQ	DNA	98088199	14811318049	151	151.0	151
TBINTC01_S8_R1_001.fastq.gz	FASTQ	DNA	39972175	6035798425	151	151.0	151
TBIPC001_S9_R1_001.fastq.gz	FASTQ	DNA	883926	133472826	151	151.0	151
