file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
DOD00372_S25_R1_001.fastq.gz	FASTQ	DNA	515	77765	151	151.0	151
DOD00373_S26_R1_001.fastq.gz	FASTQ	DNA	74	11174	151	151.0	151
DOD00376_S27_R1_001.fastq.gz	FASTQ	DNA	573	86523	151	151.0	151
DOD00377_S28_R1_001.fastq.gz	FASTQ	DNA	671	101321	151	151.0	151
DOD00378_S29_R1_001.fastq.gz	FASTQ	DNA	999	150849	151	151.0	151
DOD00379_S30_R1_001.fastq.gz	FASTQ	DNA	4312	651112	151	151.0	151
DOD00380_S31_R1_001.fastq.gz	FASTQ	DNA	3306	499206	151	151.0	151
DOD00381_S32_R1_001.fastq.gz	FASTQ	DNA	1027	155077	151	151.0	151
DOD00382_S33_R1_001.fastq.gz	FASTQ	DNA	1468	221668	151	151.0	151
DOD00383_S34_R1_001.fastq.gz	FASTQ	DNA	3340	504340	151	151.0	151
DOD00384_S35_R1_001.fastq.gz	FASTQ	DNA	2353	355303	151	151.0	151
DODNTC04_S36_R1_001.fastq.gz	FASTQ	DNA	847	127897	151	151.0	151
DODPC002_S37_R1_001.fastq.gz	FASTQ	DNA	438	66138	151	151.0	151
