file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SS-10-8-pg_S10_R1_001.fastq.gz	FASTQ	DNA	691228	104375428	151	151.0	151
SS-11-8-pg_S11_R1_001.fastq.gz	FASTQ	DNA	1250945	188892695	151	151.0	151
SS-12-8-pg_S12_R1_001.fastq.gz	FASTQ	DNA	1017374	153623474	151	151.0	151
SS-13-9-pg_S13_R1_001.fastq.gz	FASTQ	DNA	1216947	183758997	151	151.0	151
SS-14-9-pg_S14_R1_001.fastq.gz	FASTQ	DNA	1444794	218163894	151	151.0	151
SS-15-9-pg_S15_R1_001.fastq.gz	FASTQ	DNA	1623556	245156956	151	151.0	151
SS-1-5-pg_S1_R1_001.fastq.gz	FASTQ	DNA	2211996	334011396	151	151.0	151
SS-16-10-pg_S16_R1_001.fastq.gz	FASTQ	DNA	5037290	760630790	151	151.0	151
SS-17-10-pg_S17_R1_001.fastq.gz	FASTQ	DNA	1687615	254829865	151	151.0	151
SS-18-10-pg_S18_R1_001.fastq.gz	FASTQ	DNA	1586750	239599250	151	151.0	151
SS-2-5-pg_S2_R1_001.fastq.gz	FASTQ	DNA	1429753	215892703	151	151.0	151
SS-3-5-pg_S3_R1_001.fastq.gz	FASTQ	DNA	1332279	201174129	151	151.0	151
SS-4-6-pg_S4_R1_001.fastq.gz	FASTQ	DNA	1541990	232840490	151	151.0	151
SS-5-6-pg_S5_R1_001.fastq.gz	FASTQ	DNA	963862	145543162	151	151.0	151
SS-6-6-pg_S6_R1_001.fastq.gz	FASTQ	DNA	1804800	272524800	151	151.0	151
SS-7-7-pg_S7_R1_001.fastq.gz	FASTQ	DNA	3030518	457608218	151	151.0	151
SS-8-7-pg_S8_R1_001.fastq.gz	FASTQ	DNA	8257872	1246938672	151	151.0	151
SS-9-7-pg_S9_R1_001.fastq.gz	FASTQ	DNA	2231504	336957104	151	151.0	151
SS-NTC-5-pg_S19_R1_001.fastq.gz	FASTQ	DNA	1176530	177656030	151	151.0	151
SS-PCP-5-pg_S20_R1_001.fastq.gz	FASTQ	DNA	84605	12775355	151	151.0	151
SS-PCV-5-pg_S21_R1_001.fastq.gz	FASTQ	DNA	2164796	326884196	151	151.0	151
